AAAABBBBCCCCDDDD||......., 0
...B.CBDDBAA.ACC||CDD.B.A, 10000000
...B.CBDDBAAAACC||CDD.B.., 10000000
...B..BD.BAAAACC||CDDCDB., 10000000
...B..BDDBAA.ACC||CDDCAB., 10000000
...B..BDDBAAAACC||CDDC.B., 10000000
...B...DDBAAAACC||CDDBCB., 10000000
...B..BD.BAAAACC||CDDDCB., 10000000
...B..BDDBAAAACC||CDD.CB., 10000000
...B.CBD..AAAACC||CDDDBB., 10000000
...B.CBD.BAA.ACC||CDDDAB., 10000000
...B.CBD.BAAAACC||CDDD.B., 10000000
...B.CBD..AAAACC||CDDBDB., 10000000
...B.CBD.BAAAACC||CDD.DB., 10000000
...B.CBD.BAA.ACC||CDDADB., 10000000
...B.CBDDBAA..CC||CDDAAB., 10000000
...B.CBDDBAA.ACC||CDDA.B., 10000000
...B.CBDDBAA.ACC||CDD.AB., 10000000
...B.CBDDBAAAACC||CDD..B., 10000000
...B..BD.BAA.ACC||CDDCDAB, 10000000
...B..BD.BAAAACC||CDDCD.B, 10000000
...B..BD..AAAACC||CDDCBDB, 10000000
...B..BD.BAA.ACC||CDDCADB, 10000000
...B..BD.BAAAACC||CDDC.DB, 10000000
...B..BDDBAA..CC||CDDCAAB, 10000000
...B..BDDBAA.ACC||CDDCA.B, 10000000
...B..BDDBAA.ACC||CDDC.AB, 10000000
...B..BDDBAAAACC||CDDC..B, 10000000
...B...DDBAA.ACC||CDDBCAB, 10000000
...B...DDBAAAACC||CDDBC.B, 10000000
...B..BD.BAA.ACC||CDDDCAB, 10000000
...B..BD.BAAAACC||CDDDC.B, 10000000
...B..BDDBAA.ACC||CDD.CAB, 10000000
...B..BDDBAAAACC||CDD.C.B, 10000000
...B...D.BAAAACC||CDDBDCB, 10000000
...B...DDBAA.ACC||CDDBACB, 10000000
...B...DDBAAAACC||CDDB.CB, 10000000
...B....DBAAAACC||CDDDBCB, 10000000
...B...D.BAAAACC||CDDDBCB, 10000000
...B...DDBAAAACC||CDD.BCB, 10000000
...B..BD..AAAACC||CDDDBCB, 10000000
...B..BD.BAA.ACC||CDDDACB, 10000000
...B..BD.BAAAACC||CDDD.CB, 10000000
...B..BD..AAAACC||CDDBDCB, 10000000
...B..BD.BAAAACC||CDD.DCB, 10000000
...B..BD.BAA.ACC||CDDADCB, 10000000
...B..BDDBAA..CC||CDDAACB, 10000000
...B..BDDBAA.ACC||CDDA.CB, 10000000
...B..BDDBAA.ACC||CDD.ACB, 10000000
...B..BDDBAAAACC||CDD..CB, 10000000
...B.CBD..AA.ACC||CDDDBAB, 10000000
...B.CBD..AAAACC||CDDDB.B, 10000000
...B.CBD...AAACC||CDDDABB, 10000000
...B.CBD..AA.ACC||CDDDABB, 10000000
...B.CBD..AAAACC||CDDD.BB, 10000000
...B.CBD.BAA..CC||CDDDAAB, 10000000
...B.CBD.BAA.ACC||CDDDA.B, 10000000
...B.CBD.BAA.ACC||CDDD.AB, 10000000
...B.CBD.BAAAACC||CDDD..B, 10000000
...B.CBD..AA.ACC||CDDBDAB, 10000000
...B.CBD..AAAACC||CDDBD.B, 10000000
...B.CBD.BAA.ACC||CDD.DAB, 10000000
...B.CBD.BAAAACC||CDD.D.B, 10000000
...B...D.BAAAACC||CDDBCDB, 10000000
...B..BD..AAAACC||CDDBCDB, 10000000
...B..BD.BAAAACC||CDD.CDB, 10000000
...B.CBD...AAACC||CDDBADB, 10000000
...B.CBD..AA.ACC||CDDBADB, 10000000
...B.CBD..AAAACC||CDDB.DB, 10000000
...B.CBD...AAACC||CDDABDB, 10000000
...B.CBD..AAAACC||CDD.BDB, 10000000
...B.CBD..AA.ACC||CDDABDB, 10000000
...B.CBD.BAA..CC||CDDAADB, 10000000
...B.CBD.BAA.ACC||CDDA.DB, 10000000
...B.CBD.BAA.ACC||CDD.ADB, 10000000
...B.CBD.BAAAACC||CDD..DB, 10000000
...B.CBD.BAA..CC||CDDADAB, 10000000
...B.CBD.BAA.ACC||CDDAD.B, 10000000
...B.CBDDBAA...C||CDDAACB, 10000000
...B.CBDDBAA..CC||CDDAA.B, 10000000
...B.CBDDBAA...C||CDDACAB, 10000000
...B.CBDDBAA..CC||CDDA.AB, 10000000
...B.CBDDBAA.ACC||CDDA..B, 10000000
...B.CBDDBAA..CC||CDD.AAB, 10000000
...B.CBDDBAA.ACC||CDD.A.B, 10000000
...B.CBDDBAA.ACC||CDD..AB, 10000000
...B.CBDDBAAAACC||CDD...B, 10000000
...BBCBD..AA.ACC||CDDDBA., 10000000
...BBCBD..AA..CC||CDDDBAA, 10000000
...BBCBD..AA.ACC||CDDDB.A, 10000000
...BBCBD..AAAACC||CDDDB.., 10000000
...BBCBD...AAACC||CDDDAB., 10000000
...BBCBD..AA.ACC||CDDDAB., 10000000
...BBCBD..AAAACC||CDDD.B., 10000000
...BBCBD...A.ACC||CDDDAAB, 10000000
...BBCBD...AAACC||CDDDA.B, 10000000
...BBCBD....AACC||CDDDAAB, 10000000
...BBCBD...AAACC||CDDD.AB, 10000000
...BBCBD..AA..CC||CDDDAAB, 10000000
...BBCBD..AA.ACC||CDDDA.B, 10000000
...BBCBD..AA.ACC||CDDD.AB, 10000000
...BBCBD..AAAACC||CDDD..B, 10000000
...BBCBD.BAA..CC||CDDDAA., 10000000
...BBCBD.BAA...C||CDDDACA, 10000000
...BBCBD.BAA..CC||CDDDA.A, 10000000
...BBCBD.BAA.ACC||CDDDA.., 10000000
...BBCBD.BAA.ACC||CDDD.A., 10000000
...BBCBD...A.ACC||CDDDABA, 10000000
...BBCBD..AA..CC||CDDDABA, 10000000
...BBCBD..AA.ACC||CDDD.BA, 10000000
...BBCBD.BAA...C||CDDDCAA, 10000000
...BBCBD.BAA..CC||CDDD.AA, 10000000
...BBCBD.BAA.ACC||CDDD..A, 10000000
...BBCBD.BAAAACC||CDDD..., 10000000
...BBCBD..AA.ACC||CDDBDA., 10000000
...BBCBD..AA..CC||CDDBDAA, 10000000
...BBCBD..AA.ACC||CDDBD.A, 10000000
...BBCBD..AAAACC||CDDBD.., 10000000
...BBCBD.BAA.ACC||CDD.DA., 10000000
...BBCBD.BAA..CC||CDD.DAA, 10000000
...BBCBD.BAA.ACC||CDD.D.A, 10000000
...BBCBD.BAAAACC||CDD.D.., 10000000
...B..BD.BAAAACC||CDDCBD., 10000000
...B.CBD.BAAAACC||CDD.BD., 10000000
...BBCBD...AAACC||CDDBAD., 10000000
...BBCBD..AA.ACC||CDDBAD., 10000000
...BBCBD..AAAACC||CDDB.D., 10000000
...BBCBD...AAACC||CDDABD., 10000000
...BBCBD..AAAACC||CDD.BD., 10000000
...BBCBD..AA.ACC||CDDABD., 10000000
...BBCBD.BAA..CC||CDDAAD., 10000000
...BBCBD.BAA.ACC||CDDA.D., 10000000
...BBCBD.BAA.ACC||CDD.AD., 10000000
...BBCBD.BAAAACC||CDD..D., 10000000
...B..BD.BAA.ACC||CDDCBAD, 10000000
...B..BD.BAAAACC||CDDCB.D, 10000000
...B.CBD.BAA.ACC||CDD.BAD, 10000000
...B.CBD.BAAAACC||CDD.B.D, 10000000
...B..BD..AAAACC||CDDCBBD, 10000000
...B..BD.BAA.ACC||CDDCABD, 10000000
...B..BD.BAAAACC||CDDC.BD, 10000000
...B...D.BAAAACC||CDDBCBD, 10000000
...B..BD..AAAACC||CDDBCBD, 10000000
...B..BD.BAAAACC||CDD.CBD, 10000000
...B.CBD...AAACC||CDDABBD, 10000000
...B.CBD..AAAACC||CDD.BBD, 10000000
...B.CBD..AA.ACC||CDDABBD, 10000000
...B.CBD.BAA..CC||CDDAABD, 10000000
...B.CBD.BAA.ACC||CDDA.BD, 10000000
...B.CBD.BAA.ACC||CDD.ABD, 10000000
...B.CBD.BAAAACC||CDD..BD, 10000000
...BBCBD...A.ACC||CDDBAAD, 10000000
...BBCBD...AAACC||CDDBA.D, 10000000
...BBCBD....AACC||CDDBAAD, 10000000
...BBCBD...AAACC||CDDB.AD, 10000000
...BBCBD..AA..CC||CDDBAAD, 10000000
...BBCBD..AA.ACC||CDDBA.D, 10000000
...BBCBD..AA.ACC||CDDB.AD, 10000000
...BBCBD..AAAACC||CDDB..D, 10000000
...BBCBD...A.ACC||CDDABAD, 10000000
...BBCBD...AAACC||CDDAB.D, 10000000
...BBCBD..AA.ACC||CDD.BAD, 10000000
...BBCBD..AAAACC||CDD.B.D, 10000000
...BBCBD....AACC||CDDAABD, 10000000
...BBCBD...A.ACC||CDDAABD, 10000000
...BBCBD...AAACC||CDDA.BD, 10000000
...BBCBD...AAACC||CDD.ABD, 10000000
...BBCBD..AA..CC||CDDAABD, 10000000
...BBCBD..AA.ACC||CDDA.BD, 10000000
...BBCBD..AA.ACC||CDD.ABD, 10000000
...BBCBD..AAAACC||CDD..BD, 10000000
...BBCBD..AA..CC||CDDABAD, 10000000
...BBCBD..AA.ACC||CDDAB.D, 10000000
...BBCBD.BAA...C||CDDAACD, 10000000
...BBCBD.BAA..CC||CDDAA.D, 10000000
...BBCBD.BAA...C||CDDACAD, 10000000
...BBCBD.BAA..CC||CDDA.AD, 10000000
...BBCBD.BAA.ACC||CDDA..D, 10000000
...BBCBD.BAA..CC||CDD.AAD, 10000000
...BBCBD.BAA.ACC||CDD.A.D, 10000000
...BBCBD.BAA.ACC||CDD..AD, 10000000
...BBCBD.BAAAACC||CDD...D, 10000000
...BBCBD.BAA..CC||CDDADA., 10000000
...BBCBD.BAA...C||CDDADCA, 10000000
...BBCBD.BAA..CC||CDDAD.A, 10000000
...BBCBD.BAA.ACC||CDDAD.., 10000000
...BBCBDDBAA...C||CDDAAC., 10000000
...BBCBDDBAA....||CDDAACC, 10000000
...BBCBDDBAA...C||CDDAA.C, 10000000
...BBCBDDBAA..CC||CDDAA.., 10000000
...BBCBDDBAA...C||CDDACA., 10000000
...BBCBDDBAA..CC||CDDA.A., 10000000
...BBCBD..AA..CC||CDDABDA, 10000000
...BBCBD.BAA...C||CDDACDA, 10000000
...BBCBD.BAA..CC||CDDA.DA, 10000000
...BBCBDDBAA....||CDDACCA, 10000000
...BBCBDDBAA...C||CDDAC.A, 10000000
...BBCBDDBAA...C||CDDA.CA, 10000000
...BBCBDDBAA..CC||CDDA..A, 10000000
...BBCBDDBAA.ACC||CDDA..., 10000000
...BBCBDDBAA..CC||CDD.AA., 10000000
...BBCBDDBAA...C||CDD.ACA, 10000000
...BBCBDDBAA..CC||CDD.A.A, 10000000
...BBCBDDBAA.ACC||CDD.A.., 10000000
...BBCBDDBAA.ACC||CDD..A., 10000000
...B..BD.BAA.ACC||CDDCDBA, 10000000
...B..BDDBAA..CC||CDDCABA, 10000000
...B..BDDBAA.ACC||CDDC.BA, 10000000
...B...DDBAA.ACC||CDDBCBA, 10000000
...B..BD.BAA.ACC||CDDDCBA, 10000000
...B..BDDBAA.ACC||CDD.CBA, 10000000
...B.CBD..AA.ACC||CDDDBBA, 10000000
...B.CBD.BAA..CC||CDDDABA, 10000000
...B.CBD.BAA.ACC||CDDD.BA, 10000000
...B.CBD..AA.ACC||CDDBDBA, 10000000
...B.CBD.BAA.ACC||CDD.DBA, 10000000
...B.CBD.BAA..CC||CDDADBA, 10000000
...B.CBDDBAA...C||CDDACBA, 10000000
...B.CBDDBAA..CC||CDDA.BA, 10000000
...B.CBDDBAA..CC||CDD.ABA, 10000000
...B.CBDDBAA.ACC||CDD..BA, 10000000
...B..BD.BAA.ACC||CDDCBDA, 10000000
...B.CBD.BAA.ACC||CDD.BDA, 10000000
...BBCBD...A.ACC||CDDBADA, 10000000
...BBCBD..AA..CC||CDDBADA, 10000000
...BBCBD..AA.ACC||CDDB.DA, 10000000
...BBCBD...A.ACC||CDDABDA, 10000000
...BBCBD..AA.ACC||CDD.BDA, 10000000
...BBCBD.BAA..CC||CDD.ADA, 10000000
...BBCBD.BAA.ACC||CDD..DA, 10000000
...BBCBD.BAA...C||CDDCDAA, 10000000
...BBCBDDBAA....||CDDCCAA, 10000000
...BBCBDDBAA...C||CDDC.AA, 10000000
...BBCBDDBAA...C||CDD.CAA, 10000000
...BBCBDDBAA..CC||CDD..AA, 10000000
...BBCBDDBAA.ACC||CDD...A, 10000000
...BBCBDDBAAAACC||CDD...., 10000000
....BCBD.BAA.ACC||CDBDDA., 10000000
....BCBD.BAA..CC||CDBDDAA, 10000000
....BCBD.BAA.ACC||CDBDD.A, 10000000
....BCBD.BAAAACC||CDBDD.., 10000000
....BCBD..AAAACC||CDBDBD., 10000000
....BCBD.BAA.ACC||CDBDAD., 10000000
....BCBD.BAAAACC||CDBD.D., 10000000
....BCBD..AA.ACC||CDBDBAD, 10000000
....BCBD..AAAACC||CDBDB.D, 10000000
....BCBD...AAACC||CDBDABD, 10000000
....BCBD..AA.ACC||CDBDABD, 10000000
....BCBD..AAAACC||CDBD.BD, 10000000
....BCBD.BAA..CC||CDBDAAD, 10000000
....BCBD.BAA.ACC||CDBDA.D, 10000000
....BCBD.BAA.ACC||CDBD.AD, 10000000
....BCBD.BAAAACC||CDBD..D, 10000000
....BCBDDBAA..CC||CDBDAA., 10000000
....BCBDDBAA...C||CDBDACA, 10000000
....BCBDDBAA..CC||CDBDA.A, 10000000
....BCBDDBAA.ACC||CDBDA.., 10000000
....BCBDDBAA.ACC||CDBD.A., 10000000
....BCBD..AA.ACC||CDBDBDA, 10000000
....BCBD.BAA..CC||CDBDADA, 10000000
....BCBD.BAA.ACC||CDBD.DA, 10000000
....BCBDDBAA...C||CDBDCAA, 10000000
....BCBDDBAA..CC||CDBD.AA, 10000000
....BCBDDBAA.ACC||CDBD..A, 10000000
....BCBDDBAAAACC||CDBD..., 10000000
...B.CBD.BAA.ACC||CDBDDA., 10000000
...B.CBD.BAA..CC||CDBDDAA, 10000000
...B.CBD.BAA.ACC||CDBDD.A, 10000000
...B.CBD.BAAAACC||CDBDD.., 10000000
...B.CBD..AAAACC||CDBDBD., 10000000
...B.CBD.BAA.ACC||CDBDAD., 10000000
...B.CBD.BAAAACC||CDBD.D., 10000000
...B.CBD..AA.ACC||CDBDBAD, 10000000
...B.CBD..AAAACC||CDBDB.D, 10000000
...B.CBD...AAACC||CDBDABD, 10000000
...B.CBD..AA.ACC||CDBDABD, 10000000
...B.CBD..AAAACC||CDBD.BD, 10000000
...B.CBD.BAA..CC||CDBDAAD, 10000000
...B.CBD.BAA.ACC||CDBDA.D, 10000000
...B.CBD.BAA.ACC||CDBD.AD, 10000000
...B.CBD.BAAAACC||CDBD..D, 10000000
...B.CBDDBAA..CC||CDBDAA., 10000000
...B.CBDDBAA...C||CDBDACA, 10000000
...B.CBDDBAA..CC||CDBDA.A, 10000000
...B.CBDDBAA.ACC||CDBDA.., 10000000
...B.CBDDBAA.ACC||CDBD.A., 10000000
...B.CBD..AA.ACC||CDBDBDA, 10000000
...B.CBD.BAA..CC||CDBDADA, 10000000
...B.CBD.BAA.ACC||CDBD.DA, 10000000
...B.CBDDBAA...C||CDBDCAA, 10000000
...B.CBDDBAA..CC||CDBD.AA, 10000000
...B.CBDDBAA.ACC||CDBD..A, 10000000
...B.CBDDBAAAACC||CDBD..., 10000000
...BBCBD.BAA.ACC||CD.DDA., 10000000
...BBCBD.BAA..CC||CD.DDAA, 10000000
...BBCBD.BAA.ACC||CD.DD.A, 10000000
...BBCBD.BAAAACC||CD.DD.., 10000000
...BBCBD..AAAACC||CD.DBD., 10000000
...BBCBD.BAA.ACC||CD.DAD., 10000000
...BBCBD.BAAAACC||CD.D.D., 10000000
...BBCBD..AA.ACC||CD.DBAD, 10000000
...BBCBD..AAAACC||CD.DB.D, 10000000
...BBCBD...AAACC||CD.DABD, 10000000
...BBCBD..AA.ACC||CD.DABD, 10000000
...BBCBD..AAAACC||CD.D.BD, 10000000
...BBCBD.BAA..CC||CD.DAAD, 10000000
...BBCBD.BAA.ACC||CD.DA.D, 10000000
...BBCBD.BAA.ACC||CD.D.AD, 10000000
...BBCBD.BAAAACC||CD.D..D, 10000000
...BBCBDDBAA..CC||CD.DAA., 10000000
...BBCBDDBAA...C||CD.DACA, 10000000
...BBCBDDBAA..CC||CD.DA.A, 10000000
...BBCBDDBAA.ACC||CD.DA.., 10000000
...BBCBDDBAA.ACC||CD.D.A., 10000000
...BBCBD..AA.ACC||CD.DBDA, 10000000
...BBCBD.BAA..CC||CD.DADA, 10000000
...BBCBD.BAA.ACC||CD.D.DA, 10000000
...BBCBDDBAA...C||CD.DCAA, 10000000
...BBCBDDBAA..CC||CD.D.AA, 10000000
...BBCBDDBAA.ACC||CD.D..A, 10000000
...BBCBDDBAAAACC||CD.D..., 10000000
.....CBDDBAA.ACC||CDBBDA., 10000000
.....CBDDBAA..CC||CDBBDAA, 10000000
.....CBDDBAA.ACC||CDBBD.A, 10000000
.....CBDDBAAAACC||CDBBD.., 10000000
....BCBDDBAA.ACC||CDB.DA., 10000000
....BCBDDBAA..CC||CDB.DAA, 10000000
....BCBDDBAA.ACC||CDB.D.A, 10000000
....BCBDDBAAAACC||CDB.D.., 10000000
....BCBDDBAA.ACC||CD.BDA., 10000000
....BCBDDBAA..CC||CD.BDAA, 10000000
....BCBDDBAA.ACC||CD.BD.A, 10000000
....BCBDDBAAAACC||CD.BD.., 10000000
...B..BDDBAA.ACC||CDBCDA., 10000000
...B..BDDBAA..CC||CDBCDAA, 10000000
...B..BDDBAA.ACC||CDBCD.A, 10000000
...B..BDDBAAAACC||CDBCD.., 10000000
...B.CBDDBAA.ACC||CDB.DA., 10000000
...B.CBDDBAA..CC||CDB.DAA, 10000000
...B.CBDDBAA.ACC||CDB.D.A, 10000000
...B.CBDDBAAAACC||CDB.D.., 10000000
...B..BDDBAA.ACC||CDCBDA., 10000000
...B..BDDBAA..CC||CDCBDAA, 10000000
...B..BDDBAA.ACC||CDCBD.A, 10000000
...B..BDDBAAAACC||CDCBD.., 10000000
...B.CBDDBAA.ACC||CD.BDA., 10000000
...B.CBDDBAA..CC||CD.BDAA, 10000000
...B.CBDDBAA.ACC||CD.BD.A, 10000000
...B.CBDDBAAAACC||CD.BD.., 10000000
...BBCBDDBAA.ACC||CD..DA., 10000000
...BBCBDDBAA..CC||CD..DAA, 10000000
...BBCBDDBAA.ACC||CD..D.A, 10000000
...BBCBDDBAAAACC||CD..D.., 10000000
.....CBD.BAAAACC||CDBBDD., 10000000
.....CBDDBAA.ACC||CDBBAD., 10000000
.....CBDDBAAAACC||CDBB.D., 10000000
......BDDBAAAACC||CDBCBD., 10000000
.....CBD.BAAAACC||CDBDBD., 10000000
.....CBDDBAAAACC||CDB.BD., 10000000
....BCBD..AAAACC||CDBBDD., 10000000
....BCBD.BAAAACC||CDB.DD., 10000000
....BCBD.BAA.ACC||CDBADD., 10000000
....BCBDDBAA..CC||CDBAAD., 10000000
....BCBDDBAA.ACC||CDBA.D., 10000000
....BCBDDBAA.ACC||CDB.AD., 10000000
....BCBDDBAAAACC||CDB..D., 10000000
....BCBD.BAAAACC||CD.BDD., 10000000
....BCBDDBAA.ACC||CD.BAD., 10000000
....BCBDDBAAAACC||CD.B.D., 10000000
......BDDBAAAACC||CDCBBD., 10000000
.....CBDDBAAAACC||CD.BBD., 10000000
.....CBD.BAAAACC||CDDBBD., 10000000
....BCBD..AAAACC||CDDBBD., 10000000
....BCBD.BAAAACC||CDD.BD., 10000000
....BCBD.BAAAACC||CD.DBD., 10000000
....BCBDDBAAAACC||CD..BD., 10000000
...B..BD.BAAAACC||CDBCDD., 10000000
...B..BDDBAA.ACC||CDBCAD., 10000000
...B..BDDBAAAACC||CDBC.D., 10000000
...B...DDBAAAACC||CDBBCD., 10000000
...B..BD.BAAAACC||CDBDCD., 10000000
...B..BDDBAAAACC||CDB.CD., 10000000
...B.CBD..AAAACC||CDBBDD., 10000000
...B.CBD.BAAAACC||CDB.DD., 10000000
...B.CBD.BAA.ACC||CDBADD., 10000000
...B.CBDDBAA..CC||CDBAAD., 10000000
...B.CBDDBAA.ACC||CDBA.D., 10000000
...B.CBDDBAA.ACC||CDB.AD., 10000000
...B.CBDDBAAAACC||CDB..D., 10000000
...B..BD.BAAAACC||CDCBDD., 10000000
...B..BDDBAA.ACC||CDCBAD., 10000000
...B..BDDBAAAACC||CDCB.D., 10000000
...B.CBD.BAAAACC||CD.BDD., 10000000
...B.CBDDBAA.ACC||CD.BAD., 10000000
...B.CBDDBAAAACC||CD.B.D., 10000000
...B...DDBAAAACC||CDCBBD., 10000000
...B..BD.BAAAACC||CDCDBD., 10000000
...B..BDDBAAAACC||CDC.BD., 10000000
...B...DDBAAAACC||CDBCBD., 10000000
...B..BDDBAAAACC||CD.CBD., 10000000
...B.CBD.BAAAACC||CD.DBD., 10000000
...B.CBDDBAAAACC||CD..BD., 10000000
...BBCBD...AAACC||CDBADD., 10000000
...BBCBD..AAAACC||CDB.DD., 10000000
...BBCBD..AAAACC||CD.BDD., 10000000
...BBCBD.BAAAACC||CD..DD., 10000000
...B.CBD.BAA.ACC||CDABDD., 10000000
...B.CBDDBAA..CC||CDABAD., 10000000
...B.CBDDBAA.ACC||CDAB.D., 10000000
...B..BDDBAA.ACC||CDACBD., 10000000
...B.CBD.BAA.ACC||CDADBD., 10000000
...B.CBDDBAA.ACC||CDA.BD., 10000000
...BBCBD..AA.ACC||CDADBD., 10000000
...BBCBD.BAA..CC||CDADAD., 10000000
...BBCBD.BAA.ACC||CDAD.D., 10000000
...BBCBD..AA.ACC||CDABDD., 10000000
...BBCBD.BAA.ACC||CDA.DD., 10000000
...BBCBD.BAA..CC||CDAADD., 10000000
...BBCBDDBAA...C||CDAACD., 10000000
...BBCBDDBAA..CC||CDAA.D., 10000000
...BBCBDDBAA..CC||CDA.AD., 10000000
...BBCBDDBAA.ACC||CDA..D., 10000000
...BBCBD.BAA.ACC||CD.ADD., 10000000
...BBCBDDBAA..CC||CD.AAD., 10000000
...BBCBDDBAA.ACC||CD.A.D., 10000000
...BBCBDDBAA.ACC||CD..AD., 10000000
...BBCBDDBAAAACC||CD...D., 10000000
.....CBD.BAA.ACC||CDBBDAD, 10000000
.....CBD.BAAAACC||CDBBD.D, 10000000
.....CBD..AAAACC||CDBBBDD, 10000000
.....CBD.BAA.ACC||CDBBADD, 10000000
.....CBD.BAAAACC||CDBB.DD, 10000000
.....CBDDBAA..CC||CDBBAAD, 10000000
.....CBDDBAA.ACC||CDBBA.D, 10000000
.....CBDDBAA.ACC||CDBB.AD, 10000000
.....CBDDBAAAACC||CDBB..D, 10000000
......BDDBAA.ACC||CDBCBAD, 10000000
......BDDBAAAACC||CDBCB.D, 10000000
.....CBD.BAA.ACC||CDBDBAD, 10000000
.....CBD.BAAAACC||CDBDB.D, 10000000
.....CBDDBAA.ACC||CDB.BAD, 10000000
.....CBDDBAAAACC||CDB.B.D, 10000000
......BD.BAAAACC||CDBCDBD, 10000000
......BDDBAA.ACC||CDBCABD, 10000000
......BDDBAAAACC||CDBC.BD, 10000000
.......DDBAAAACC||CDBBCBD, 10000000
......BD.BAAAACC||CDBDCBD, 10000000
......BDDBAAAACC||CDB.CBD, 10000000
.....CBD..AAAACC||CDBDBBD, 10000000
.....CBD.BAA.ACC||CDBDABD, 10000000
.....CBD.BAAAACC||CDBD.BD, 10000000
.....CBD..AAAACC||CDBBDBD, 10000000
.....CBD.BAAAACC||CDB.DBD, 10000000
.....CBD.BAA.ACC||CDBADBD, 10000000
.....CBDDBAA..CC||CDBAABD, 10000000
.....CBDDBAA.ACC||CDBA.BD, 10000000
.....CBDDBAA.ACC||CDB.ABD, 10000000
.....CBDDBAAAACC||CDB..BD, 10000000
....BCBD..AA.ACC||CDBBDAD, 10000000
....BCBD..AAAACC||CDBBD.D, 10000000
....BCBD.BAA.ACC||CDB.DAD, 10000000
....BCBD.BAAAACC||CDB.D.D, 10000000
......BD.BAAAACC||CDBCBDD, 10000000
.....CBD.BAAAACC||CDB.BDD, 10000000
....BCBD...AAACC||CDBBADD, 10000000
....BCBD..AA.ACC||CDBBADD, 10000000
....BCBD..AAAACC||CDBB.DD, 10000000
....BCBD...AAACC||CDBABDD, 10000000
....BCBD..AAAACC||CDB.BDD, 10000000
....BCBD..AA.ACC||CDBABDD, 10000000
....BCBD.BAA..CC||CDBAADD, 10000000
....BCBD.BAA.ACC||CDBA.DD, 10000000
....BCBD.BAA.ACC||CDB.ADD, 10000000
....BCBD.BAAAACC||CDB..DD, 10000000
....BCBD.BAA..CC||CDBADAD, 10000000
....BCBD.BAA.ACC||CDBAD.D, 10000000
....BCBDDBAA...C||CDBAACD, 10000000
....BCBDDBAA..CC||CDBAA.D, 10000000
....BCBDDBAA...C||CDBACAD, 10000000
....BCBDDBAA..CC||CDBA.AD, 10000000
....BCBDDBAA.ACC||CDBA..D, 10000000
....BCBDDBAA..CC||CDB.AAD, 10000000
....BCBDDBAA.ACC||CDB.A.D, 10000000
....BCBDDBAA.ACC||CDB..AD, 10000000
....BCBDDBAAAACC||CDB...D, 10000000
....BCBD.BAA.ACC||CD.BDAD, 10000000
....BCBD.BAAAACC||CD.BD.D, 10000000
....BCBD..AAAACC||CD.BBDD, 10000000
....BCBD.BAA.ACC||CD.BADD, 10000000
....BCBD.BAAAACC||CD.B.DD, 10000000
....BCBDDBAA..CC||CD.BAAD, 10000000
....BCBDDBAA.ACC||CD.BA.D, 10000000
....BCBDDBAA.ACC||CD.B.AD, 10000000
....BCBDDBAAAACC||CD.B..D, 10000000
......BDDBAA.ACC||CDCBBAD, 10000000
......BDDBAAAACC||CDCBB.D, 10000000
.....CBDDBAA.ACC||CD.BBAD, 10000000
.....CBDDBAAAACC||CD.BB.D, 10000000
.....CBD.BAA.ACC||CDDBBAD, 10000000
.....CBD.BAAAACC||CDDBB.D, 10000000
....BCBD..AA.ACC||CDDBBAD, 10000000
